Gene	HT_Pvalue	MS_Pvalue	Known_MS_gene	known_HT_gene
CLIC5	0.75	0.01934		
TBCCD1	0.75	0.03008		
CALCOCO2	0.75	0.126		
PSTPIP1	0.75	0.148		
YPEL2	0.75	0.182		
TCF4	0.75	0.2		
ACTC1	0.75	0.293		
HACL1	0.75	0.323		
TMEM167A	0.75	0.392		
FCAMR	0.75	0.429		
SLC39A4	0.75	0.87		
AVPI1	0.751	0.125		
FLI1	0.751	0.133		
SLAMF9	0.751	0.206		
MRO	0.751	0.25		
TRPV3	0.751	0.321		
TOR1B	0.751	0.457		
DKK4	0.751	0.759		
OR6K2	0.751	0.78		
ARID1B	0.751	0.961		
DCUN1D3	0.752	0.161		
SBNO2	0.752	0.349		
FASTKD3	0.752	0.488		
LLGL1	0.753	0.108		
C9orf102	0.753	0.14		
PLEKHA4	0.753	0.147		
FAM103A1	0.753	0.189		
JMJD2A	0.753	0.219		YES
C10orf18	0.753	0.258		
SLC36A2	0.753	0.367		
OXCT1	0.753	0.474		
ABCB11	0.753	0.554		
GLTPD1	0.753	0.608		
FAM132A	0.753	0.695		
CLRN1	0.753	0.763		
COL5A3	0.753	0.816		
SNAPC3	0.754	0.361		
TARSL2	0.754	0.555		
OR6F1	0.754	0.734		
CENTB5	0.754	0.736		
CFTR	0.754	0.851		
LOC200726	0.754	0.859		
CHKB	0.755	0.000501		
FAM83E	0.755	0.05585		
NR1D1	0.755	0.05653		
RWDD2A	0.755	0.08293		
DDX27	0.755	0.12		
S100A9	0.755	0.239		
C9	0.755	0.3		
SFMBT2	0.755	0.328		
SRD5A3	0.755	0.345		
KRTAP10-10	0.755	0.391		
SH3TC1	0.755	0.523		
TNFRSF21	0.755	0.529		
TMEM91	0.755	0.567		
TMPRSS7	0.755	0.696		
EXOSC5	0.755	0.704		
OR1C1	0.755	0.755		
ETFA	0.755	0.819		
CPT1B	0.756	0.00049		
MIER1	0.756	0.05011		
SETD4	0.756	0.233		
ATMIN	0.756	0.408		
ZNF790	0.756	0.476		
CNBD1	0.756	0.568		
SYNGR3	0.756	0.594		
UBE2E2	0.756	0.619		
ECOP	0.756	0.619		
ART4	0.756	0.651		
MUC7	0.756	0.812		
CATSPER3	0.756	0.877		
CDC23	0.757	0.01135		
BCL9	0.02336	0.581	YES	
SIGLEC5	0.757	0.10402		
PI4K2A	0.757	0.113		
C2orf21	0.757	0.555		
VPS37B	0.757	0.62		
C12orf26	0.757	0.647		
LOC388503	0.757	0.911		
KALRN	0.757	0.929		
DOK7	0.757	0.936		
SIX3	0.757	0.998		
STX11	0.758	0.000645		
LAMB1	0.758	0.04011		
SSX2IP	0.758	0.24		
HMOX2	0.758	0.296		
ROR2	0.758	0.502		
LOC165186	0.758	0.603		
GNMT	0.758	0.628		
GLIS3	0.758	0.696		
NR2E1	0.758	0.719		
VDAC3	0.758	0.758		
OR6K3	0.758	0.845		
C19orf66	0.758	0.848		
CPSF1	0.758	0.945		
OR2A12	0.758	0.994		
BRE	0.374	0.581	YES	
HSPB9	0.759	0.132		
KRTAP10-6	0.759	0.136		
SLC22A5	0.759	0.304		
ME1	0.759	0.346		
GNB4	0.853	0.583	YES	
VPS13B	0.759	0.384		
PDGFRL	0.759	0.61		
NKAIN3	0.759	0.684		
TNFSF15	0.759	0.793		
FOXH1	0.759	0.903		
ADCK5	0.759	0.954		
ST3GAL4	0.76	0.03013		
HSD17B14	0.76	0.08909		
JDP2	0.76	0.109		
FHIT	0.457	0.585	YES	
MSRB2	0.76	0.352		
ALG1	0.76	0.355		
G3BP2	0.76	0.451		
RER1	0.76	0.573		
SLC27A3	0.76	0.586		
STK11	0.76	0.607		
TPR	0.76	0.661		
GBP3	0.76	0.904		
LCN10	0.761	0.00037		
C8orf74	0.761	0.01793		
CPOX	0.761	0.136		
RXFP2	0.761	0.338		
ZDHHC19	0.761	0.368		
MMP17	0.761	0.644		
NEUROD1	0.761	0.646		
TTC7A	0.761	0.647		
USP16	0.761	0.648		
C7orf44	0.761	0.76		
CD83	0.219	0.591	YES	
TNFRSF19	0.761	0.925		
SLC5A10	0.762	0.04734		
RALYL	0.762	0.0908		
CRIP3	0.762	0.378		
EIF2S2	0.762	0.379		
ITGA8	0.762	0.614		
OR4K13	0.762	0.76		
CPSF3L	0.762	0.762		
FAM163A	0.243	0.592	YES	
MAP3K12	0.763	0.233		
HRASLS	0.763	0.272		
KCNC3	0.763	0.294		
ME2	0.763	0.431		
PRNPIP	0.763	0.465		
LOC100129534	0.763	0.491		
AP1GBP1	0.763	0.728		
EGFL7	0.764	0.01184		
GPR155	0.127	0.594	YES	
PSMA1	0.764	0.113		
TD1	0.764	0.244		
SUDS3	0.764	0.266		
TMEM154	0.764	0.411		
LGR4	0.764	0.469		
EFCAB4B	0.764	0.71		
KCTD10	0.764	0.827		
CFHR5	0.764	0.877		
LRPAP1	0.764	0.961		
ACPL2	0.765	0.177		
SIP1	0.765	0.201		
RFXDC2	0.765	0.204		
HIBADH	0.765	0.287		
MAP3K13	0.765	0.418		
HSPB11	0.765	0.616		
RANBP10	0.765	0.747		
NRCAM	0.765	0.768		
RLF	0.765	0.818		
TGOLN2	0.765	0.984		
LOC644186	0.766	0.000087		
NSMCE2	0.766	0.01999		
AAK1	0.766	0.09811		
C12orf35	0.766	0.106		
FLJ33360	0.766	0.186		
GALR1	0.766	0.248		
CHRNA1	0.766	0.277		
PRG3	0.766	0.369		
SPG20	0.766	0.377		
SPIRE1	0.766	0.399		
PTPRN2	0.766	0.402		
PMCH	0.766	0.409		
NUCB1	0.766	0.474		
POP1	0.766	0.734		
RAB11FIP5	0.766	0.737		
C1orf85	0.766	0.743		
KRT24	0.766	0.816		
GLB1L3	0.766	0.822		
GHITM	0.766	0.976		
PCBP2	0.767	0.114		
C11orf58	0.767	0.175		
STAU1	0.767	0.248		
MORN1	0.767	0.26		
GTF3C5	0.767	0.324		
DIO1	0.767	0.55		
HYAL4	0.767	0.568		
ZNF598	0.767	0.584		
AMTN	0.767	0.622		
FSTL4	0.271	0.596	YES	
C2orf44	0.768	0.00503		
ARHGAP19	0.768	0.01752		
PLEKHA5	0.768	0.104		
WDR21A	0.768	0.247		
OR5K3	0.768	0.378		
FHDC1	0.861	0.598	YES	
ARMC3	0.768	0.397		
ABL2	0.768	0.549		
SYNE1	0.768	0.611		
GPR81	0.768	0.66		
NES	0.768	0.798		
CHGB	0.768	0.881		
C19orf15	0.768	0.935		
2-Mar	0.769	0.00348		
PACS1	0.769	0.02364		
PIGR	0.769	0.198		
ATP6V0A2	0.769	0.303		
MRLC2	0.769	0.44		
PSCD1	0.769	0.524		
GPR160	0.769	0.537		
PXN	0.769	0.541		
ESSPL	0.769	0.7		
TSC1	0.769	0.771		
TSHZ1	0.769	0.918		
TOMM7	0.77	0.09203		
LRRN2	0.77	0.161		
BRD8	0.77	0.168		
FLJ36208	0.77	0.262		
LOC400566	0.77	0.353		
S1PR3	0.77	0.441		
CMTM8	0.77	0.485		
YIPF1	0.77	0.552		
FAS	0.77	0.597		
VSIG8	0.77	0.62		
C10orf107	0.77	0.653		
BTBD1	0.77	0.655		
OR4K14	0.77	0.827		
THAP2	0.77	0.829		
KLHDC7B	0.771	0.00008		
C9orf41	0.771	0.01803		
GRPEL1	0.771	0.06208		
FAT	0.771	0.06289		
C9orf152	0.771	0.08358		
TBX15	0.771	0.262		
DUS4L	0.771	0.375		
NOXO1	0.771	0.492		
NPHP4	0.771	0.572		
FUT4	0.771	0.726		
SPATA12	0.771	0.864		
C1QL3	0.771	0.871		
LCN8	0.772	0.00366		
C4orf33	0.772	0.211		
PRG2-1	0.772	0.428		
ZHX2	0.772	0.572		
DDTL	0.772	0.586		
C15orf40	0.772	0.651		
ADRA2A	0.772	0.739		
SNX3	0.772	0.811		
FSD1	0.772	0.907		
ZNF521	0.772	0.952		
DPP4	0.773	0.00329		
EIF2B3	0.773	0.02076		
HCN4	0.773	0.383		
ATF7	0.773	0.421		
RPS12	0.773	0.586		
CLLU1	0.773	0.799		
PPOX	0.773	0.806		
C1QTNF9	0.773	0.888		
FKBP1B	0.774	0.00466		
LYZ	0.774	0.04916		
PECR	0.774	0.203		
HM13	0.774	0.219		
ZNF643	0.774	0.255		
TAGLN2	0.774	0.299		
CLCA2	0.774	0.375		
ZDHHC20	0.774	0.464		
CUZD1	0.774	0.721		
PIWIL4	0.774	0.734		
CYGB	0.774	0.908		
MAML3	0.861	0.598	YES	
FAM65C	0.775	0.12		
RBM28	0.775	0.236		
UNC5B	0.775	0.344		
COG3	0.775	0.379		
PPIL4	0.775	0.386		
Gcom1	0.775	0.453		
PPP1R15A	0.775	0.51		
KIAA1217	0.775	0.606		
C22orf29	0.775	0.622		
RAB36	0.775	0.745		
VHLL	0.775	0.748		
UCKL1	0.775	0.79		
KDSR	0.775	0.799		
PHB	0.775	0.847		
GGH	0.775	0.883		
ACAD8	0.775	0.892		
C17orf76	0.775	0.947		
AGPAT2	0.776	0.00114		
AK1	0.776	0.00938		
PHLDB1	0.776	0.05296		
TRIM6	0.776	0.145		
CCDC43	0.776	0.2		
BMP6	0.776	0.328		
NMS	0.776	0.341		
LMBRD1	0.776	0.475		
ADAM23	0.776	0.566		
INMT	0.776	0.706		
HSN2	0.776	0.73		
KLF17	0.776	0.85		
THYN1	0.776	0.935		
LOC388931	0.777	0.00371		
UNQ2541	0.777	0.00374		
RBM38	0.777	0.0381		
TRIM34	0.777	0.10327		
CACNB1	0.777	0.23		
CD4	0.777	0.248		
DKFZP586H2123	0.777	0.37		
UBFD1	0.777	0.51		
BTF3L4	0.777	0.521		
ARHGAP11B	0.777	0.569		
MAP3K9	0.777	0.718		
NR4A1	0.777	0.719		
GTF2H4	0.778	0.0000001		
SFTPG	0.778	0.0000001		
GIMAP2	0.778	0.01479		
KCNJ6	0.778	0.108		
EIF4G3	0.778	0.129		
IGF1	0.778	0.144		
C13orf18	0.778	0.311		
FAM101B	0.778	0.535		
LRRC18	0.778	0.631		
GBP1	0.778	0.852		
ANGPTL5	0.778	0.855		
RABAC1	0.778	0.868		
ANGPTL6	0.778	0.896		
PALB2	0.778	0.984		
DUSP19	0.779	0.00297		
MGC21874	0.779	0.04241		
GARNL4	0.779	0.04497		
KIAA1618	0.779	0.05677		
RGP1	0.779	0.13		
CDC2L5	0.779	0.274		
MRCL3	0.779	0.311		
ZNF624	0.779	0.322		
LSM11	0.779	0.337		
PIK3R5	0.779	0.483		
NUP210L	0.779	0.492		
LOC202459	0.779	0.514		
VNN2	0.779	0.524		
GFER	0.779	0.558		
LPHN3	0.779	0.665		
CDK5RAP2	0.779	0.724		
C5orf44	0.779	0.739		
TMEM201	0.779	0.764		
GALNTL4	0.779	0.918		
OR2A14	0.779	0.957		
SLCO1B3	0.779	0.969		
TEDDM1	0.779	0.98		
GCG	0.78	0.001529		
CR2	0.78	0.08965		
CD59	0.78	0.113		
LCTL	0.78	0.114		
CEP152	0.78	0.198		
BCAP29	0.78	0.21		
CHRNA5	0.78	0.256		
CXCL11	0.78	0.264		
IL17RD	0.78	0.277		
CREB3	0.78	0.284		
ATP13A5	0.78	0.328		
RPAP2	0.78	0.493		
VNN3	0.78	0.559		
BNIP3L	0.78	0.616		
PUSL1	0.78	0.717		
DAND5	0.78	0.816		
CLLU1OS	0.78	0.823		
ZBTB46	0.781	0.000378		
FYN	0.781	0.0558		
SNIP	0.781	0.164		
METTL8	0.781	0.175		
CTBP2	0.781	0.277		
FAM49B	0.781	0.701		
FAM71F1	0.781	0.726		
PDCL3	0.781	0.729		
DCUN1D2	0.781	0.972		
FAIM3	0.782	0.208		
AHSA1	0.782	0.257		
ADAT2	0.782	0.29		
RGS17	0.782	0.347		
ZSCAN2	0.782	0.349		
TMEM2	0.782	0.395		
FBXO33	0.782	0.396		
SOLH	0.782	0.462		
WDR81	0.782	0.462		
TULP2	0.782	0.553		
MASTL	0.782	0.639		
OR4L1	0.782	0.768		
ADPRHL1	0.782	0.938		
ARFRP1	0.783	0.000053		
SLC39A8	0.783	0.06466		YES
KAT2A	0.783	0.131		
DAAM1	0.783	0.136		
SYN3	0.783	0.282		
WDR59	0.783	0.354		
C4orf43	0.783	0.501		
C6orf168	0.783	0.515		
GPR109B	0.783	0.636		
ACTA1	0.783	0.638		
CHCHD9	0.783	0.813		
VPS28	0.783	0.883		
ASPM	0.783	0.904		
F13B	0.783	0.931		
KIF20A	0.784	0.09026		
C14orf1	0.784	0.10441		
GBA2	0.784	0.108		
SLC1A1	0.784	0.18		
APOL4	0.784	0.224		
MMP8	0.784	0.303		
ERGIC1	0.784	0.341		
LRRC20	0.784	0.348		
NUP107	0.784	0.408		
ZNF682	0.784	0.561		
FAM20B	0.784	0.667		
L3MBTL3	0.01529	0.599	YES	
GUCA1A	0.785	0.02672		
MAST4	0.665	0.599	YES	
PDIA4	0.785	0.197		
AGK	0.785	0.399		
HAPLN2	0.785	0.541		
EHD3	0.785	0.684		
ALG14	0.592	0.601	YES	
CCDC131	0.785	0.837		
MINA	0.785	0.991		
ENAH	0.786	0.00854		
ST6GALNAC6	0.786	0.00957		
LAPTM5	0.786	0.06142		
RAE1	0.786	0.10578		
TSPAN5	0.786	0.139		
CALCOCO1	0.786	0.247		
UBE2Z	0.786	0.257		
VSTM3	0.786	0.297		
EPSTI1	0.786	0.384		
RTP2	0.786	0.7		
KITLG	0.786	0.776		
ERCC2	0.786	0.893		
FAM80B	0.786	0.993		
KRTAP10-7	0.787	0.181		
CDKN1A	0.787	0.363		
WDR73	0.787	0.406		
GIPC2	0.787	0.445		
COL8A1	0.787	0.511		
KLF9	0.787	0.54		
ADAMTS12	0.787	0.6		
NVL	0.787	0.623		
SORCS2	0.787	0.685		
KIAA1377	0.787	0.751		
VARS2	0.788	0.0000001		
FAM69B	0.788	0.000338		
GIMAP1	0.788	0.01673		
UBXD4	0.788	0.03019		
SLIT1	0.788	0.04843		
CECR2	0.788	0.138		
E2F7	0.788	0.152		
MAGI3	0.788	0.232		
WNK2	0.788	0.248		
CLN8	0.788	0.363		
NMB	0.788	0.368		
TBL3	0.788	0.481		
CRKL	0.788	0.503		
HHIPL2	0.788	0.51		
CXCL2	0.788	0.613		
CCDC69	0.788	0.635		
BAI3	0.788	0.672		
VNN1	0.788	0.718		
AGTR1	0.788	0.726		
BCL6	0.788	0.836		
ATP1A3	0.788	0.864		
NGLY1	0.788	0.917		
SH2B3	0.789	0.01341		
PRPSAP2	0.789	0.03843		
CERCAM	0.789	0.249		
ETV6	0.789	0.255		
DTWD1	0.789	0.318		
KRT9	0.789	0.372		
MFAP3L	0.789	0.537		
SMC5	0.789	0.662		
F13A1	0.789	0.68		
FLJ41766	0.789	0.848		
EMILIN3	0.79	0.02372		
RAPGEF5	0.79	0.0559		
COPB1	0.79	0.08963		
RAB5C	0.79	0.125		
PIGM	0.79	0.398		
BCAN	0.79	0.623		
RAG2	0.79	0.658		
APC	0.79	0.884		
TTC9	0.79	0.909		
TMCO3	0.79	0.986		
ARID1A	0.791	0.01314		
ZFP90	0.791	0.03539		
MAK	0.791	0.04621		
OPN5	0.791	0.13		
CLSTN2	0.411	0.602	YES	
SLC35E3	0.791	0.189		
PSMB11	0.791	0.285		
UBOX5	0.791	0.308		
AGPAT9	0.791	0.379		
SLCO1B1	0.791	0.466		
GSTP1	0.791	0.576		
GPR109A	0.791	0.596		
RAG1	0.791	0.697		
KRT17	0.791	0.787		
CERKL	0.659	0.602	YES	
B4GALT3	0.791	0.898		
HIST1H3H	0.792	0.02255		
INPP5A	0.792	0.07523		
FBXO3	0.792	0.08355		
TRIM6-TRIM34	0.792	0.142		
HIPK3	0.792	0.159		
TRERF1	0.792	0.214		
PTPRF	0.792	0.216		
KIAA1576	0.792	0.671		
CHIT1	0.792	0.816		
KRT7	0.792	0.838		
FFAR2	0.792	0.954		
FMN2	0.161	0.606	YES	
TSHZ3	0.793	0.241		
TCTN2	0.793	0.273		
AFP	0.931	0.607	YES	
ZC3H12D	0.793	0.456		
LTV1	0.793	0.512		
GABRB1	0.639	0.608	YES	
ZNF295	0.793	0.578		
GSTT2B	0.793	0.603		
ZNF572	0.793	0.615		
ADFP	0.793	0.786		
GPRIN1	0.793	0.929		
CLEC9A	0.794	0.10417		
TXNDC12	0.794	0.34		
C20orf194	0.794	0.384		
LEPREL2	0.794	0.387		
SULT4A1	0.794	0.51		
ATE1	0.794	0.522		
HNRPDL	0.794	0.743		
INSM1	0.794	0.915		
PRCC	0.794	0.956		
PRCD	0.794	0.994		
IL31RA	0.319	0.611	YES	
DHX58	0.795	0.09661		
C16orf72	0.795	0.183		
WHSC1L1	0.795	0.434		
C11orf80	0.795	0.676		
POPDC3	0.795	0.701		
PPAT	0.795	0.732		
KRT16	0.795	0.82		
ZADH2	0.795	0.917		
KAT2B	0.181	0.612	YES	
URM1	0.796	0.11942		
FAM152A	0.796	0.123		
ODF2	0.796	0.247		
WDR78	0.796	0.399		
C10orf27	0.796	0.451		
ADAM12	0.796	0.508		
GPR39	0.796	0.77		YES
SLC38A2	0.796	0.835		
FER1L3	0.797	0.05626		
RALGDS	0.797	0.09376		
MATN1	0.797	0.105		
PDILT	0.797	0.195		
CCDC8	0.797	0.236		
IFNA4	0.797	0.406		
SORCS3	0.797	0.451		
STAG1	0.797	0.521		
CCDC19	0.797	0.523		
C13orf23	0.797	0.538		
C20orf108	0.797	0.631		
C14orf174	0.797	0.659		
SST	0.797	0.677		
ITGA6	0.797	0.717		
SMR3A	0.797	0.865		
VPS53	0.797	0.878		
APBB1	0.797	0.93		
PRELID2	0.798	0.03803		
TRIM5	0.798	0.05581		
TLN1	0.798	0.204		
SERPINH1	0.798	0.261		
KLK7	0.798	0.276		
C1orf198	0.798	0.279		
PARP15	0.798	0.289		
TMEM19	0.798	0.399		
DENND1A	0.798	0.492		
STOML3	0.798	0.521		
RHOU	0.798	0.66		
LRFN4	0.798	0.69		
TAF1B	0.798	0.702		
PLD1	0.000817	0.616	YES	
C4orf35	0.798	0.794		
SH2D2A	0.798	0.908		
ZNF468	0.798	0.987		
REEP4	0.799	0.00693		
BMP10	0.799	0.03376		
RXFP3	0.799	0.04954		
CDK6	0.799	0.07991		
GLIS1	0.965	0.616	YES	
WDR72	0.799	0.137		
CHST8	0.799	0.251		
BCL11B	0.799	0.313		
RCE1	0.799	0.661		
TGFB2	0.656	0.617	YES	
DENR	0.799	0.827		
TNFRSF6B	0.8	0.000048		
KCNAB1	0.363	0.619	YES	
TXN	0.8	0.05968		
MLF2	0.8	0.09683		
MTX2	0.8	0.129		
SLC29A3	0.8	0.218		
PSMB5	0.8	0.221		
MARVELD2	0.8	0.369		
MTA3	0.8	0.376		
GSTT2-1	0.8	0.545		
LETM2	0.8	0.551		
FST	0.8	0.561		
S1PR2	0.8	0.757		
CRABP2	0.8	0.767		
POLR1D	0.8	0.782		
HDGF	0.8	0.9		
PRKG1	0.8	0.993		
LSG1	0.801	0.02823		
THSD3	0.801	0.181		
ELOVL2	0.801	0.259		
KTI12	0.801	0.315		
PF4	0.801	0.372		
MTERFD3	0.801	0.378		
SENP2	0.801	0.387		
TBX19	0.801	0.42		
ERAF	0.801	0.451		
GPR162	0.801	0.455		
ABT1	0.801	0.504		
ZNF322A	0.801	0.573		
PEX6	0.801	0.61		
ST6GALNAC2	0.801	0.99		
ELOVL7	0.802	0.215		
IFNW1	0.802	0.452		
C6orf192	0.802	0.529		
SASH1	0.802	0.626		
INTS3	0.802	0.636		
GSN	0.802	0.74		
VAX1	0.802	0.741		
LRRC42	0.802	0.746		
NKX2-8	0.802	0.746		
ZNF28	0.802	0.961		
HIST1H2BM	0.803	0.01317		
FLJ23834	0.803	0.01654		
CDC25C	0.803	0.04113		
C20orf82	0.803	0.308		
POLD1	0.803	0.313		
ARMC5	0.803	0.363		
TMEM22	0.803	0.582		
ENOPH1	0.803	0.716		
DNMT1	0.803	0.942		
C6orf15	0.804	0.0000001		
LIME1	0.804	0.00074		
GYLTL1B	0.804	0.108		
TLR10	0.804	0.282		
C16orf58	0.804	0.437		
MIA3	0.804	0.53		
KRTAP20-2	0.804	0.64		
TRAM1L1	0.804	0.644		
PPFIA2	0.804	0.713		
KRT222P	0.804	0.844		
ILDR1	0.805	0.000004		
ANKRD11	0.805	0.269		
C10orf129	0.805	0.279		
SLC4A8	0.805	0.368		
KCNA10	0.805	0.426		
ELMOD2	0.805	0.559		
PAICS	0.805	0.68		
PLEKHB1	0.805	0.793		
C12orf4	0.805	0.904		
RBM22	0.805	0.916		
HPX	0.805	0.958		
SERPINA1	0.805	0.959		
HIST1H4K	0.806	0.00923		
PEX16	0.806	0.125		
CRISPLD2	0.806	0.175		
GATAD2A	0.806	0.349		
ZNF277	0.806	0.612		
PCTK3	0.806	0.708		
ERBB4	0.629	0.619	YES	
ASIP	0.806	0.937		
ZNF718	0.838	0.619	YES	
RPL14	0.806	0.969		
LOC389257	0.807	0.02019		
PCDH7	0.255	0.62	YES	
CNGA3	0.807	0.171		
SELPLG	0.807	0.215		
COG5	0.807	0.369		
LOC338809	0.807	0.42		
DDT	0.807	0.482		
IFNA21	0.807	0.486		
ZNF320	0.807	0.57		
HEATR5A	0.807	0.711		
AREG-1	0.807	0.745		
NEDD4L	0.807	0.814		
ZNF619	0.807	0.97		
HIST1H2BN	0.808	0.00891		
NFX1	0.808	0.03597		
TIAF1	0.808	0.165		
TRIP4	0.808	0.284		
QPRT	0.808	0.336		
NAPSA	0.808	0.422		
OR1J4	0.808	0.458		
LONRF1	0.808	0.515		
PDGFRB	0.808	0.517		
PTPN12	0.808	0.65		
KRTAP6-1	0.808	0.798		
TIMM10	0.808	0.803		
ABCB4	0.808	0.841		
ARNTL2	0.808	0.924		
HLA-F	0.809	0.0000001		
UBE2F	0.809	0.11		
TMEM63B	0.809	0.12		
DGKA	0.809	0.288		
PPP2R2A	0.809	0.362		
MYL2	0.809	0.641		
LYPD1	0.809	0.69		
STOM	0.809	0.736		
GPA33	0.809	0.752		
KRTAP22-1	0.809	0.821		
ADCY1	0.809	0.848		
ZNF706	0.809	0.875		
SNCB	0.809	0.9		
SLC43A1	0.809	0.926		
BCHE	0.809	0.959		
PLEKHG4B	0.81	0.03631		
LOC143678	0.81	0.108		
MAPK8IP1	0.81	0.14		
DTX3L	0.81	0.178		
IL15RA	0.469	0.621	YES	
HSPA4L	0.81	0.404		
SH3BP5L	0.427	0.622	YES	
MYF5	0.81	0.441		
TRAK1	0.311	0.624	YES	
LOC728621	0.81	0.563		
C11orf74	0.81	0.786		
KRTAP6-2	0.81	0.795		
LNX2	0.81	0.809		
VPS4B	0.81	0.899		
SYT6	0.432	0.624	YES	
HIST1H4J	0.811	0.00551		
FAM43A	0.811	0.01655		
LOH11CR2A	0.811	0.099		
TMPRSS11D	0.811	0.163		
TLR1	0.811	0.212		
TAF1A	0.811	0.492		
NKX6-3	0.811	0.629		
KRTAP20-3	0.811	0.642		
NOM1	0.811	0.65		
FAM71F2	0.811	0.759		
ZNF260	0.811	0.836		
EMCN	0.811	0.86		
GFRA3	0.812	0.00754		
C9orf125	0.812	0.259		
SFRS8	0.812	0.314		
MMP27	0.812	0.38		
ATP5SL	0.812	0.616		
C14orf73	0.812	0.666		
TMC1	0.812	0.769		
TCHH	0.813	0.267		
FASTKD5	0.813	0.288		
ARHGAP22	0.813	0.369		
FAM177A1	0.813	0.48		
MACROD1	0.813	0.513		
ZFP64	0.813	0.528		
RAD52	0.813	0.533		
CADPS2	0.813	0.702		
TET1	0.813	0.835		
DERL3	0.813	0.964		
HIST1H2AK	0.814	0.00828		
BMP1	0.814	0.01466		
CHST1	0.814	0.02901		
HMG2L1	0.814	0.02978		
SLC39A10	0.814	0.11018		
MMAA	0.814	0.19		
PRKCH	0.814	0.391		
OR1N2	0.814	0.41		
OR1L8	0.814	0.457		
NR1H2	0.814	0.51		
SUNC1	0.814	0.56		
C12orf45	0.814	0.647		
HTRA3	0.814	0.662		
CYP4F12	0.814	0.798		
HDAC9	0.814	0.806		
KCTD1	0.814	0.896		
PGGT1B	0.814	0.999		
C15orf17	0.815	0.001846		
SDHA	0.815	0.00602		
FIGN	0.815	0.01286		
FCRLA	0.815	0.171		
ARL4D	0.815	0.351		
LOC646603	0.815	0.374		
SLC45A2	0.815	0.432		
CDX1	0.815	0.504		
KRT14	0.815	0.525		
TRAM1	0.815	0.555		
NUMBL	0.815	0.598		
SH3BGRL2	0.815	0.668		
FAM40B	0.815	0.75		
KRTAP20-1	0.815	0.78		
FGFBP2	0.816	0.137		
TCHHL1	0.816	0.247		
CDH24	0.816	0.3		
RAD17	0.816	0.449		
NQO2	0.816	0.483		
IL2RB	0.816	0.57		
ALG6	0.864	0.624	YES	
C6orf138	0.816	0.647		
ADAMDEC1	0.816	0.67		
NUP62	0.816	0.7		
WNK1	0.816	0.716		
CCDC78	0.816	0.728		
AQP9	0.816	0.87		
VDAC2	0.816	0.919		
EREG	0.816	0.92		
HIST1H2AJ	0.817	0.01243		
PGLYRP4	0.817	0.225		
RDH10	0.817	0.278		
SPN	0.817	0.339		
AHCYL2	0.817	0.421		
PRPF18	0.817	0.538		
ALPPL2	0.817	0.796		
CAMTA1	0.949	0.626	YES	
ZNF529	0.817	0.932		
PRKACB	0.06095	0.629	YES	
PIGV	0.818	0.01968		
FAM53C	0.818	0.222		
TRAF4	0.818	0.278		
KRT25	0.818	0.346		
TGFB1I1	0.818	0.355		
GPR31	0.818	0.495		
PTOV1	0.818	0.501		
RNF115	0.818	0.733		
ZNF566	0.818	0.849		
ABP1	0.818	0.974		
RBM9	0.818	1		
LOC645993	0.819	0.00096		
UBE2V1	0.819	0.07745		
SESN3	0.08907	0.632	YES	
EIF3F	0.819	0.27		
ZC3H12C	0.819	0.315		
ADCK4	0.819	0.335		
LIG1	0.819	0.385		
FAM19A4	0.938	0.635	YES	
PPP2R5D	0.819	0.524		
OR4F6	0.819	0.591		
RIT2	0.819	0.949		
PDCD6	0.82	0.01305		
TMEM189-UBE2V1	0.82	0.103		
TMEM108	0.693	0.636	YES	
ZNF641	0.82	0.19		
TM9SF3	0.82	0.204		
PLK4	0.82	0.325		
CLCA1	0.82	0.399		
MGC13057	0.82	0.42		
CCDC80	0.82	0.471		
ZNF621	0.82	0.617		
WFS1	0.82	0.638		
CXCL6	0.82	0.66		
TBC1D17	0.82	0.706		
DDX60	0.0251	0.638	YES	
PLLP	0.82	0.842		
ZNF620	0.82	0.918		
C2orf69	0.821	0.000082		
CCDC127	0.821	0.00915		
ATP8B2	0.821	0.01468		
PLA2G2E	0.821	0.234		
SESTD1	0.821	0.262		
HGF	0.821	0.319		
ONECUT2	0.821	0.356		
FAM26F	0.821	0.429		
PDZK1	0.821	0.482		
ZNF395	0.821	0.536		
ORC3L	0.822	0.04526		
TRIM4	0.822	0.101		
DYSF	0.822	0.109		
GPR89A	0.822	0.353		
SLC5A2	0.822	0.432		
RNF144A	0.822	0.434		
ABCB5	0.822	0.58		
CHN2	0.822	0.603		
PTX3	0.822	0.636		
PAX9	0.822	0.875		
SERGEF	0.822	0.892		
C7orf10	0.822	0.998		
LDB2	0.2	0.639	YES	
ILF3	0.823	0.000533		
KLK6	0.823	0.206		
CITED2	0.823	0.454		
ABCA13	0.823	0.486		
PSMD12	0.823	0.573		
SFRS16	0.823	0.593		
CD160	0.823	0.65		
RAB6A	0.823	0.692		
RBM7	0.823	0.703		
PPP1R14C	0.823	0.731		
SPP1	0.823	0.843		
SAMSN1	0.823	0.913		
COMTD1	0.823	0.929		
C9orf95	0.824	0.102		
BRSK2	0.824	0.134		
NFXL1	0.824	0.207		
TMEM136	0.824	0.334		
TPCN2	0.824	0.438		
GNRHR	0.824	0.452		
PRTFDC1	0.824	0.54		
LAX1	0.824	0.727		
FLJ45831	0.824	0.957		
AZGP1	0.825	0.01489		
